,team_name,team_id,team_sh,team_sot,team_scored,opponent_name,opponent_id,opponent_sh,opponent_sot,opponent_scored,team_power,team_finishing,opponent_power,opponent_finishing,team_sh_share,opponent_sh_share
0,FC Barcelona,241,21,5,0,Rayo Vallecano,2,4,2,0,83,74,75,71,0.84,0.16
1,FC Barcelona,241,15,7,4,Real Sociedad,1,10,5,1,83,74,78,72,0.6,0.4
2,FC Barcelona,241,24,9,4,Valladolid,2,8,2,0,83,74,74,71,0.75,0.25
3,FC Barcelona,241,18,5,3,Sevilla,2,9,4,0,83,74,81,75,0.6666666666666666,0.3333333333333333
4,FC Barcelona,241,16,8,4,Cádiz,10,6,0,0,83,74,75,73,0.7272727272727273,0.2727272727272727
5,FC Barcelona,241,25,9,3,Elche,1799,1,1,0,83,74,74,74,0.9615384615384616,0.038461538461538464
6,FC Barcelona,241,11,3,1,Mallorca,10,13,3,0,83,74,74,72,0.4583333333333333,0.5416666666666666
7,FC Barcelona,241,13,5,1,Celta Vigo,5,14,3,0,83,74,76,74,0.48148148148148145,0.5185185185185185
8,FC Barcelona,241,18,5,1,Real Madrid,1,7,3,3,83,74,84,80,0.72,0.28
9,FC Barcelona,241,16,5,3,Villarreal,2,5,1,0,83,74,80,82,0.7619047619047619,0.23809523809523808
10,FC Barcelona,241,10,7,4,Athletic Club,5,5,1,0,83,74,78,74,0.6666666666666666,0.3333333333333333
11,FC Barcelona,241,13,2,1,Valencia,10,3,2,0,83,74,75,71,0.8125,0.1875
12,FC Barcelona,241,26,12,2,Almería,110,4,1,0,83,74,73,71,0.8666666666666667,0.13333333333333333
13,FC Barcelona,241,9,3,2,Osasuna,1,15,3,1,83,74,76,74,0.375,0.625
14,FC Barcelona,241,21,6,1,Espanyol,1,3,0,1,83,74,75,74,0.875,0.125
15,FC Barcelona,241,10,2,1,Atlético Madrid,110,20,3,0,83,74,82,79,0.3333333333333333,0.6666666666666666
16,FC Barcelona,241,8,4,1,Getafe,10,7,3,0,83,74,76,76,0.5333333333333333,0.4666666666666667
17,FC Barcelona,241,8,3,1,Girona,1808,8,2,0,83,74,73,67,0.5,0.5
18,FC Barcelona,241,13,3,2,Betis,95,5,1,0,83,74,79,78,0.7222222222222222,0.2777777777777778
19,FC Barcelona,241,16,7,3,Sevilla,2,3,1,0,83,74,81,75,0.8421052631578947,0.15789473684210525
20,FC Barcelona,241,6,4,1,Villarreal,2,11,2,0,83,74,80,82,0.35294117647058826,0.6470588235294118
21,FC Barcelona,241,16,4,2,Cádiz,10,14,4,0,83,74,75,73,0.5333333333333333,0.4666666666666667
22,FC Barcelona,241,13,1,0,Almería,110,6,4,1,83,74,73,71,0.6842105263157895,0.3157894736842105
23,FC Barcelona,241,12,4,1,Valencia,10,13,1,0,83,74,75,71,0.48,0.52
24,FC Barcelona,241,10,2,1,Athletic Club,5,15,3,0,83,74,78,74,0.4,0.6
25,FC Barcelona,241,17,7,2,Real Madrid,1,11,3,0,83,74,84,80,0.6071428571428571,0.39285714285714285
26,FC Barcelona,241,12,5,4,Elche,1799,15,2,0,83,74,74,74,0.4444444444444444,0.5555555555555556
27,FC Barcelona,241,18,3,0,Girona,1808,5,0,0,83,74,73,67,0.782608695652174,0.21739130434782608
28,FC Barcelona,241,15,3,0,Getafe,10,5,1,0,83,74,76,76,0.75,0.25
29,FC Barcelona,241,13,4,1,Atlético Madrid,110,13,3,0,83,74,82,79,0.5,0.5
30,FC Barcelona,241,10,5,1,Rayo Vallecano,2,9,6,2,83,74,75,71,0.5263157894736842,0.47368421052631576
31,FC Barcelona,241,15,6,3,Betis,95,4,1,0,83,74,79,78,0.7894736842105263,0.21052631578947367
32,FC Barcelona,241,21,4,1,Osasuna,1,7,2,0,83,74,76,74,0.75,0.25
33,FC Barcelona,241,15,5,4,Espanyol,1,15,7,2,83,74,75,74,0.5,0.5
34,FC Barcelona,241,13,4,1,Real Sociedad,1,13,6,2,83,74,78,72,0.5,0.5
35,FC Barcelona,241,16,6,1,Valladolid,2,7,3,2,83,74,74,71,0.6956521739130435,0.30434782608695654
36,FC Barcelona,241,28,8,3,Mallorca,10,3,1,0,83,74,74,72,0.9032258064516129,0.0967741935483871
37,FC Barcelona,241,9,2,1,Celta Vigo,5,12,9,2,83,74,76,74,0.42857142857142855,0.5714285714285714
