Best_Pos,DM_intercept,DM_slope,AML_intercept,AML_slope,AMC_intercept,AMC_slope,GK_intercept,GK_slope,MC_intercept,MC_slope,DC_intercept,DC_slope,AMR_intercept,AMR_slope,DL_intercept,DL_slope,DR_intercept,DR_slope,ST_intercept,ST_slope,ML_intercept,ML_slope,MR_intercept,MR_slope,WBR_intercept,WBR_slope,WBL_intercept,WBL_slope
MC,2.31,0.63,4.22,0.03,1.7,0.51,5.72,-0.24,-0.0,1.0,13.88,-0.57,5.28,-0.01,7.19,-0.27,3.06,-0.04,2.16,-0.0,1.34,0.2,1.7,0.21,2.89,-0.03,3.26,-0.07
AML,9.45,-0.42,-0.0,1.0,22.14,-0.48,1.0,0.0,25.67,-1.04,1.0,0.0,9.5,0.32,-1.48,0.18,6.54,-0.26,9.88,0.13,-4.81,0.87,7.79,0.1,5.87,-0.19,-3.47,0.33
ST,7.36,-0.32,4.95,0.15,7.91,-0.03,4.9,-0.19,9.87,-0.41,8.69,-0.38,2.54,0.26,1.0,0.0,2.11,-0.05,-0.0,1.0,2.93,-0.01,0.9,0.1,0.97,0.01,0.99,0.0
AMR,12.28,-0.57,2.51,0.65,7.12,0.29,2.63,-0.09,11.49,-0.28,8.62,-0.4,0.0,1.0,6.85,-0.26,5.05,-0.15,5.6,0.27,0.71,0.47,-3.13,0.8,2.58,0.04,5.21,-0.14
GK,4.51,-0.18,8.54,-0.38,9.77,-0.44,0.0,1.0,8.63,-0.38,6.96,-0.3,6.96,-0.3,3.89,-0.14,5.65,-0.23,7.23,-0.31,6.88,-0.29,6.09,-0.25,3.89,-0.14,2.4,-0.07
DC,7.61,-0.08,9.75,-0.44,10.8,-0.49,4.33,-0.17,11.72,-0.45,-0.0,1.0,10.97,-0.5,1.11,0.19,0.63,0.26,2.56,-0.07,7.82,-0.34,7.12,-0.3,0.89,0.07,0.9,0.07
AMC,5.1,0.01,7.67,0.13,0.0,1.0,10.0,-0.45,2.97,0.63,1.0,-0.0,7.57,0.16,0.89,0.02,0.97,0.01,3.18,0.26,5.78,0.07,5.76,0.07,0.89,0.02,0.89,0.02
DM,0.0,1.0,10.13,-0.43,5.49,-0.03,1.0,-0.0,2.48,0.75,12.39,-0.2,11.49,-0.49,9.37,-0.37,8.97,-0.28,1.03,0.01,8.08,-0.28,10.04,-0.34,9.56,-0.36,11.69,-0.5
DR,6.49,-0.12,2.26,-0.01,7.16,-0.29,4.78,-0.19,10.39,-0.35,17.8,-0.45,-3.38,0.42,1.4,0.39,0.0,1.0,0.7,0.03,-1.31,0.24,-6.66,0.8,-6.44,1.17,-0.02,0.35
DL,8.97,-0.28,2.05,0.23,5.91,-0.23,3.6,-0.13,5.21,-0.11,15.63,-0.37,4.71,-0.15,0.0,1.0,4.12,-0.05,2.32,-0.06,0.65,0.5,4.18,-0.11,0.8,0.09,-3.68,1.04
MR,8.72,-0.32,-8.72,0.88,7.73,-0.09,1.0,0.0,15.13,-0.51,5.3,-0.16,-3.46,0.95,14.25,-0.51,24.99,-0.72,-19.01,1.28,-5.89,0.77,0.0,1.0,10.71,0.19,7.84,-0.17
WBR,-14.94,0.94,43.69,-1.94,29.33,-1.33,1.0,0.0,-4.45,0.45,-12.02,0.77,71.86,-3.11,-11.55,1.05,-10.42,1.42,-0.39,0.14,33.39,-1.39,50.64,-1.89,-0.0,1.0,7.42,0.08
WBL,-2.45,0.32,54.29,-2.23,42.42,-2.01,1.0,0.0,22.12,-0.77,-6.99,0.53,49.69,-2.36,-6.54,1.25,34.23,-1.64,28.19,-1.36,19.87,-0.29,41.75,-2.02,34.23,-1.64,-0.0,1.0
ML,12.55,-0.55,-0.77,0.89,12.45,-0.12,1.0,-0.0,20.31,-0.71,3.02,-0.07,0.64,0.56,3.15,0.35,2.8,0.02,4.15,0.06,0.0,1.0,-2.9,0.77,4.56,-0.03,3.43,0.41
