Pitch_Number,Success_Percentage
1,29.0
2,74.0
3,83.0
4,68.0
5,80.0
6,79.0
7,82.0
8,80.0
9,90.0
10,88.0
11,94.0
12,88.0
13,91.0
14,86.0
15,92.0
16,92.0
17,92.0
18,96.0
19,89.0
20,88.0
21,84.0
22,85.0
23,76.0
24,53.0
25,92.0
26,65.0
27,73.0
28,84.0
29,82.0
30,81.0
31,86.0
32,86.0
33,92.0
34,90.0
35,91.0
36,91.0
37,92.0
38,95.0
39,95.0
40,93.0
41,89.0
42,90.0
43,88.0
44,91.0
45,71.0
46,71.0
47,58.0
48,54.0
49,94.0
50,65.0
51,90.0
52,94.0
53,87.0
54,99.0
55,88.0
56,90.0
57,94.0
58,90.0
59,90.0
60,92.0
61,91.0
62,90.0
63,96.0
64,95.0
65,90.0
66,89.0
67,88.0
68,81.0
69,75.0
70,58.0
71,50.0
72,50.0
73,67.0
74,79.0
75,87.0
76,81.0
77,94.0
78,95.0
79,93.0
80,93.0
81,92.0
82,92.0
83,95.0
84,96.0
85,92.0
86,94.0
87,95.0
88,94.0
89,95.0
90,89.0
91,83.0
92,77.0
93,76.0
94,61.0
95,63.0
96,50.0
97,79.0
98,76.0
99,91.0
100,88.0
101,91.0
102,92.0
103,92.0
104,95.0
105,98.0
106,90.0
107,95.0
108,96.0
109,93.0
110,92.0
111,89.0
112,93.0
113,91.0
114,85.0
115,78.0
116,81.0
117,57.0
118,56.0
119,47.0
120,35.0
121,69.0
122,82.0
123,90.0
124,91.0
125,94.0
126,91.0
127,91.0
128,95.0
129,94.0
130,94.0
131,93.0
132,91.0
133,94.0
134,88.0
135,93.0
136,88.0
137,79.0
138,86.0
139,69.0
140,73.0
141,74.0
142,46.0
143,60.0
144,42.0
145,72.0
146,83.0
147,81.0
148,78.0
149,91.0
150,92.0
151,95.0
152,91.0
153,97.0
154,92.0
155,94.0
156,94.0
157,93.0
158,93.0
159,86.0
160,91.0
161,84.0
162,84.0
163,67.0
164,68.0
165,62.0
166,77.0
167,40.0
168,50.0
169,84.0
170,85.0
171,88.0
172,95.0
173,92.0
174,89.0
175,90.0
176,93.0
177,95.0
178,93.0
179,94.0
180,95.0
181,90.0
182,95.0
183,90.0
184,86.0
185,83.0
186,81.0
187,75.0
188,66.0
189,50.0
190,100.0
191,75.0
192,100.0
193,84.0
194,83.0
195,87.0
196,88.0
197,88.0
198,92.0
199,95.0
200,91.0
201,94.0
202,96.0
203,94.0
204,96.0
205,96.0
206,92.0
207,89.0
208,90.0
209,91.0
210,77.0
211,75.0
212,77.0
213,57.0
214,50.0
215,73.0
216,83.0
217,62.0
218,86.0
219,86.0
220,82.0
221,91.0
222,88.0
223,95.0
224,91.0
225,97.0
226,96.0
227,94.0
228,95.0
229,95.0
230,91.0
231,90.0
232,91.0
233,86.0
234,78.0
235,77.0
236,81.0
237,64.0
238,54.0
239,80.0
240,83.0
241,81.0
242,81.0
243,90.0
244,81.0
245,90.0
246,92.0
247,88.0
248,95.0
249,93.0
250,93.0
251,93.0
252,94.0
253,94.0
254,90.0
255,90.0
256,90.0
257,90.0
258,78.0
259,71.0
260,72.0
261,71.0
262,67.0
263,58.0
264,21.0
265,65.0
266,84.0
267,88.0
268,82.0
269,95.0
270,94.0
271,94.0
272,95.0
273,93.0
274,93.0
275,92.0
276,94.0
277,92.0
278,96.0
279,92.0
280,90.0
281,90.0
282,82.0
283,77.0
284,61.0
285,82.0
286,54.0
287,47.0
288,32.0
289,73.0
290,89.0
291,89.0
292,97.0
293,92.0
294,86.0
295,94.0
296,91.0
297,88.0
298,94.0
299,95.0
300,94.0
301,93.0
302,92.0
303,92.0
304,95.0
305,89.0
306,89.0
307,85.0
308,83.0
309,66.0
310,56.0
311,55.0
312,50.0
313,67.0
314,88.0
315,91.0
316,78.0
317,91.0
318,92.0
319,88.0
320,92.0
321,91.0
322,86.0
323,95.0
324,92.0
325,90.0
326,90.0
327,96.0
328,91.0
329,92.0
330,86.0
331,82.0
332,73.0
333,68.0
334,63.0
335,52.0
336,28.0
337,81.0
338,62.0
339,80.0
340,84.0
341,87.0
342,87.0
343,90.0
344,83.0
345,90.0
346,91.0
347,88.0
348,88.0
349,89.0
350,90.0
351,94.0
352,92.0
353,93.0
354,85.0
355,91.0
356,84.0
357,66.0
358,73.0
359,57.0
360,38.0
361,43.0
362,56.0
363,82.0
364,79.0
365,91.0
366,78.0
367,87.0
368,90.0
369,79.0
370,92.0
371,90.0
372,93.0
373,91.0
374,89.0
375,91.0
376,94.0
377,91.0
378,87.0
379,88.0
380,87.0
381,83.0
382,79.0
383,82.0
384,50.0
385,83.0
