,Clearance,Ball Receipt*,Shot,Duel,Goal Keeper,Block,Carry,Pass,Pressure,Dribble,Bad Behaviour,Ball Recovery,50/50,Interception,Dispossessed,Foul Committed
Clearance,0.02610867261994854,0.15248978356288784,0.0040865748448615105,0.05584985621310731,0.003027092477675193,0.03882246102618435,0.13591645224761617,0.42326320569093384,0.11631602845466929,0.00015135462388375965,0.00037838655970939914,0.032087180263357044,0.0009081277433025579,0.00022703193582563946,0.0009838050552444376,0.009383986680793098
Ball Receipt*,0.022052276889445454,0.08162563608857104,0.008147000702140443,0.035747634800107134,0.002044893556956619,0.021722922351953326,0.68758369586461,0.09015628053768034,0.025374776509420986,7.962417389919579e-05,4.3431367581379524e-05,0.0050742314457578415,0.00015200978653482833,0.01247927961838305,0.00019544115411620786,0.007520865152842221
Shot,0.0018796992481203006,0.07800751879699248,0.001611170784103115,0.013157894736842105,0.5406820622986036,0.22986036519871106,0.008190118152524168,0.09116541353383459,0.030612244897959183,0.00040279269602577875,0.0001342642320085929,0.0022824919441460797,0.0002685284640171858,0.0,0.0001342642320085929,0.001611170784103115
Duel,0.11184015578038352,0.1882910722600855,0.028912500529145325,0.0014816069085213563,0.004233162595775304,0.009990263726029716,0.036997841087076155,0.1882910722600855,0.09152097532066207,0.1087076154595098,0.00029632138170427127,0.0041908309698175505,0.0008466325191550608,0.0,0.22152139863692163,0.0028785505651272064
Goal Keeper,0.031532033426183846,0.17192200557103063,0.009025069637883009,0.003788300835654596,0.005571030640668524,0.016824512534818942,0.07064066852367688,0.5496378830083566,0.09704735376044568,0.0003342618384401114,0.0012256267409470752,0.03264623955431755,0.0012256267409470752,0.0,0.0010027855153203343,0.007576601671309192
Block,0.0201673640167364,0.1297907949790795,0.005188284518828452,0.005606694560669456,0.14652719665271965,0.03439330543933054,0.12669456066945606,0.34736401673640166,0.14343096234309624,0.00033472803347280337,0.0005857740585774059,0.019414225941422593,0.004853556485355648,0.0005020920502092051,0.0010878661087866108,0.01405857740585774
Carry,0.002686582452938246,0.10171764344348166,0.005075173091339147,0.015346578448673239,0.005936555680236159,0.0024630885920352377,0.01880607717056772,0.5008171494289266,0.1772818490392092,0.024402735937347222,0.0001350275409622342,0.11953196660629228,0.0015411764158103282,0.010606646148688604,0.0038413007342704554,0.009810449269221637
Pass,0.005691136003557829,0.6499708146871612,0.001949161964588487,0.010718653584234373,0.0025815104094282456,0.0066987241848959055,0.014134030074769991,0.20726436334324708,0.09400102843483336,0.0003404953164521778,0.00014940100619840454,0.002241015092976068,0.0003370208744475637,0.00025015982433221226,0.0006080273508074604,0.0030644578480696
Pressure,0.010188645220753979,0.2680405141408778,0.012613081939950109,0.02951401063947023,0.0021539417133354037,0.0015929150345131591,0.07632968332047647,0.48497750884117935,0.0686556398208722,0.0054700101185168855,4.007333420158891e-05,0.007223218489836401,0.000530971678171053,0.0001903483374575473,0.0070328701523788536,0.025446567218008958
Dribble,0.007326433306198395,0.11745551808349808,0.018490522153738805,0.09896499592975927,0.005465751831608327,0.00488428887079893,0.07547389231305966,0.3791138504477265,0.2672403767879986,0.0009303407372950343,0.0006977555529712757,0.007791603674845912,0.0017443888824281893,0.0,0.0010466333294569135,0.013373648098616119
Bad Behaviour,0.0,0.14903846153846154,0.02403846153846154,0.0,0.004807692307692308,0.0,0.014423076923076924,0.6586538461538461,0.07211538461538461,0.0,0.057692307692307696,0.014423076923076924,0.0,0.0,0.004807692307692308,0.0
Ball Recovery,0.004980778873474845,0.11860270767173658,0.0365368544208591,0.017482868126358013,0.002975096105632626,0.002172822998495738,0.050610061841885344,0.4481029583820826,0.2885174661541033,0.0026408156443255893,0.00043456459969914757,0.004312217950860772,0.0014039779374895537,0.00016714023065351831,0.004078221627945846,0.01698144743439746
50/50,0.006130790190735695,0.08174386920980926,0.0027247956403269754,0.005449591280653951,0.0020435967302452314,0.006130790190735695,0.0837874659400545,0.1907356948228883,0.10217983651226158,0.0020435967302452314,0.0,0.011580381471389645,0.4952316076294278,0.0,0.0006811989100817438,0.009536784741144414
Interception,0.008401920438957476,0.1392318244170096,0.003943758573388203,0.011145404663923183,0.00411522633744856,0.021262002743484224,0.125,0.42386831275720166,0.22616598079561043,0.00205761316872428,0.00017146776406035664,0.01440329218106996,0.0027434842249657062,0.00017146776406035664,0.0018861454046639231,0.015432098765432098
Dispossessed,0.007935403034943616,0.10469163302241404,0.0020882639565641095,0.2709174439649172,0.0019490463594598357,0.008631491020464987,0.12432131421411667,0.2831685925100933,0.1663650285396074,0.00041765279131282193,0.0008353055826256439,0.01155506055965474,0.004733398301545315,0.0,0.0,0.012390366142280384
Foul Committed,0.004154502582528632,0.18650348079946102,0.010779249943858073,0.006063328093420166,0.003480799461037503,0.0007859869750729845,0.031102627442173816,0.6612396137435437,0.07893554906804401,0.0007859869750729845,0.005726476532674602,0.003143947900291938,0.0008982708286548395,0.0,0.001571973950145969,0.004828205704019762
